Veículo;SS;Tipo de tempo;Horário;Obs
300;2;LT;12:26:04;Largada - Ocorrência: 1 - Velocidade: 35.2km/h
300;2;LT;15:26:04;Largada - Ocorrência: 2 - Velocidade: 36.16km/h
300;2;W;08:36:32;WP001 - Ocorrência: 1 - Velocidade: 37km/h
300;2;W;11:19:42;WP001 - Ocorrência: 2 - Velocidade: 1.37km/h
300;2;W;09:02:45;WP002 - Ocorrência: 1 - Velocidade: 48.45km/h
300;2;W;15:29:00;WP002 - Ocorrência: 2 - Velocidade: 45.48km/h
300;2;W;09:05:56;WP004 - Ocorrência: 1 - Velocidade: 29.78km/h
300;2;W;12:36:45;WP004 - Ocorrência: 2 - Velocidade: 14.77km/h
300;2;W;15:32:23;WP004 - Ocorrência: 3 - Velocidade: 29.86km/h
300;2;W;12:39:35;WP005 - Ocorrência: 1 - Velocidade: 40.96km/h
300;2;W;15:34:35;WP005 - Ocorrência: 2 - Velocidade: 54.46km/h
300;2;W;09:09:10;WP006 - Ocorrência: 1 - Velocidade: 20.23km/h
300;2;W;09:13:32;WP007 - Ocorrência: 1 - Velocidade: 66.06km/h
300;2;W;12:49:06;WP007 - Ocorrência: 2 - Velocidade: 50.01km/h
300;2;W;09:16:14;WP008 - Ocorrência: 1 - Velocidade: 36.43km/h
300;2;W;12:53:19;WP008 - Ocorrência: 2 - Velocidade: 39.98km/h
300;2;W;14:08:16;WP008 - Ocorrência: 3 - Velocidade: 32.23km/h
300;2;W;14:18:11;WP009 - Ocorrência: 1 - Velocidade: 41.65km/h
300;2;W;15:51:09;WP009 - Ocorrência: 2 - Velocidade: 57.78km/h
300;2;W;09:25:29;WP010 - Ocorrência: 1 - Velocidade: 32.07km/h
300;2;W;14:19:56;WP010 - Ocorrência: 2 - Velocidade: 31.81km/h
300;2;W;15:52:39;WP010 - Ocorrência: 3 - Velocidade: 35.12km/h
300;2;W;09:26:54;WP011 - Ocorrência: 1 - Velocidade: 36.93km/h
300;2;W;14:21:40;WP011 - Ocorrência: 2 - Velocidade: 38.17km/h
300;2;W;09:37:46;WP012 - Ocorrência: 1 - Velocidade: 60.69km/h
